change_id,target_id,target_name,target_agency,target_url,detected_at,severity,change_type,pct_text_changed,pct_content_changed,row_count_before,row_count_after,semantic_similarity,semantic_labels,keywords_removed,diff_text_preview,notes
1,ssa-press-releases,SSA Press Releases RSS Feed,SSA,https://www.ssa.gov/rss/mr.xml,2026-09-20T13:01:20.121585+00:00,HIGH,content_major,100.0,0.0,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1 @@
+Access Denied Access Denied You don't have permission to access ""http://www.ssa.gov/rss/mr.xml"" on this server. Reference #18.ac83017.1789909255.86c5dae8 https://errors.edgesuite.net/18.ac83017.1789909255.86c5dae8",Major content change: 100.0% text altered
2,ssa-public-use-data-index,SSA Public-Use Data Files (DKAN Catalog),SSA,https://www.ssa.gov/data/api/1/metastore/schemas/dataset/items?show-reference-ids,2026-09-20T13:01:20.122418+00:00,HIGH,content_major,100.0,0.5,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1,10 @@
+<HTML><HEAD>

+<TITLE>Access Denied</TITLE>

+</HEAD><BODY>

+<H1>Access Denied</H1>

+ 

+You don't have permission to access ""http&#58;&#47;&#47;www&#46;ssa&#46;gov&#47;data&#47;api&#47;1&#47;metastore&#47;schemas&#47;dataset&#47;items&#63;"" on this server.<P>

+Reference&#32;&#35;18&#46;ac83017&#46;1789909255&#46;86c5daea

+<P>https&#58;&#47;&#47;errors&#46;edgesuite&#46;net&#47;18&#46;ac83017&#46;1789909255&#46;86c5daea</P>

+<",Major content change: 100.0% text altered
3,ssa-bepuf-2020,SSA Benefits & Earnings Public-Use File 2020 (DKAN),SSA,https://www.ssa.gov/data/api/1/dataset/bepuf-2020,2026-09-20T13:01:20.122994+00:00,HIGH,content_major,100.0,0.5,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1,10 @@
+<HTML><HEAD>

+<TITLE>Access Denied</TITLE>

+</HEAD><BODY>

+<H1>Access Denied</H1>

+ 

+You don't have permission to access ""http&#58;&#47;&#47;www&#46;ssa&#46;gov&#47;data&#47;api&#47;1&#47;dataset&#47;bepuf&#45;2020"" on this server.<P>

+Reference&#32;&#35;18&#46;ac83017&#46;1789909255&#46;86c5daeb

+<P>https&#58;&#47;&#47;errors&#46;edgesuite&#46;net&#47;18&#46;ac83017&#46;1789909255&#46;86c5daeb</P>

+</BODY>

+</HTML>
",Major content change: 100.0% text altered
4,ssa-epuf,SSA Earnings Public-Use File (DKAN),SSA,https://www.ssa.gov/data/api/1/dataset/epuf,2026-09-20T13:01:20.123561+00:00,HIGH,content_major,100.0,0.5,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1,10 @@
+<HTML><HEAD>

+<TITLE>Access Denied</TITLE>

+</HEAD><BODY>

+<H1>Access Denied</H1>

+ 

+You don't have permission to access ""http&#58;&#47;&#47;www&#46;ssa&#46;gov&#47;data&#47;api&#47;1&#47;dataset&#47;epuf"" on this server.<P>

+Reference&#32;&#35;18&#46;dc83017&#46;1789909255&#46;8d97526

+<P>https&#58;&#47;&#47;errors&#46;edgesuite&#46;net&#47;18&#46;dc83017&#46;1789909255&#46;8d97526</P>

+</BODY>

+</HTML>
",Major content change: 100.0% text altered
5,ssa-ssi-microdata,SSA SSI Public-Use Microdata File (DKAN),SSA,https://www.ssa.gov/data/api/1/dataset/ssr,2026-09-20T13:01:20.124094+00:00,HIGH,content_major,100.0,1.0,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1,10 @@
+<HTML><HEAD>

+<TITLE>Access Denied</TITLE>

+</HEAD><BODY>

+<H1>Access Denied</H1>

+ 

+You don't have permission to access ""http&#58;&#47;&#47;www&#46;ssa&#46;gov&#47;data&#47;api&#47;1&#47;dataset&#47;ssr"" on this server.<P>

+Reference&#32;&#35;18&#46;dc83017&#46;1789909255&#46;8d974c4

+<P>https&#58;&#47;&#47;errors&#46;edgesuite&#46;net&#47;18&#46;dc83017&#46;1789909255&#46;8d974c4</P>

+</BODY>

+</HTML>
",Major content change: 100.0% text altered
6,ssa-disability-insurance-stats,SSA SSDI Annual Statistical Report (DKAN),SSA,https://www.ssa.gov/data/api/1/dataset/di_asr,2026-09-20T13:01:20.124639+00:00,HIGH,content_major,100.0,0.5,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1,10 @@
+<HTML><HEAD>

+<TITLE>Access Denied</TITLE>

+</HEAD><BODY>

+<H1>Access Denied</H1>

+ 

+You don't have permission to access ""http&#58;&#47;&#47;www&#46;ssa&#46;gov&#47;data&#47;api&#47;1&#47;dataset&#47;di&#95;asr"" on this server.<P>

+Reference&#32;&#35;18&#46;ac83017&#46;1789909255&#46;86c5dbcf

+<P>https&#58;&#47;&#47;errors&#46;edgesuite&#46;net&#47;18&#46;ac83017&#46;1789909255&#46;86c5dbcf</P>

+</BODY>

+</HTML>
",Major content change: 100.0% text altered
7,ssa-ssi-annual-stats,SSA SSI Annual Statistical Report (DKAN),SSA,https://www.ssa.gov/data/api/1/dataset/ssi_asr,2026-09-20T13:01:20.125138+00:00,HIGH,content_major,100.0,1.0,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1,10 @@
+<HTML><HEAD>

+<TITLE>Access Denied</TITLE>

+</HEAD><BODY>

+<H1>Access Denied</H1>

+ 

+You don't have permission to access ""http&#58;&#47;&#47;www&#46;ssa&#46;gov&#47;data&#47;api&#47;1&#47;dataset&#47;ssi&#95;asr"" on this server.<P>

+Reference&#32;&#35;18&#46;dc83017&#46;1789909255&#46;8d9760a

+<P>https&#58;&#47;&#47;errors&#46;edgesuite&#46;net&#47;18&#46;dc83017&#46;1789909255&#46;8d9760a</P>

+</BODY>

+</HTML>
",Major content change: 100.0% text altered
8,ssa-open-data-catalog,SSA Open Data Catalog (DKAN API),SSA,https://www.ssa.gov/data/api/1/metastore/schemas/dataset/items?show-reference-ids,2026-09-20T13:01:20.125667+00:00,HIGH,content_major,100.0,0.0,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1,10 @@
+<HTML><HEAD>

+<TITLE>Access Denied</TITLE>

+</HEAD><BODY>

+<H1>Access Denied</H1>

+ 

+You don't have permission to access ""http&#58;&#47;&#47;www&#46;ssa&#46;gov&#47;data&#47;api&#47;1&#47;metastore&#47;schemas&#47;dataset&#47;items&#63;"" on this server.<P>

+Reference&#32;&#35;18&#46;ac83017&#46;1789909255&#46;86c5db99

+<P>https&#58;&#47;&#47;errors&#46;edgesuite&#46;net&#47;18&#46;ac83017&#46;1789909255&#46;86c5db99</P>

+<",Major content change: 100.0% text altered
9,ssa-disability-benefits,SSA Sitemap (proxy for page availability),SSA,https://www.ssa.gov/sitemap.xml,2026-09-20T13:02:20.186810+00:00,HIGH,http_error,100.0,0.5,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1 @@
+Access Denied Access Denied You don't have permission to access ""http://www.ssa.gov/sitemap.xml"" on this server. Reference #18.dc83017.1789909255.8d9765a https://errors.edgesuite.net/18.dc83017.1789909255.8d9765a",HTTP status changed: 200 → 403
10,ssa-bluebook-listings,SSA Blue Book Listing of Impairments,SSA,https://www.ssa.gov/disability/professionals/bluebook/listing-impairments.htm,2026-09-20T13:02:25.393439+00:00,HIGH,http_error,100.0,0.0,,,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1 @@
+Access Denied Access Denied You don't have permission to access ""http://www.ssa.gov/disability/professionals/bluebook/listing-impairments.htm"" on this server. Reference #18.ac83017.1789909255.86c5dbcc https://errors.edgesuite.net/18.ac83017.1789909255.86c5dbcc",HTTP status changed: 200 → 403
11,cdc-soda-disability-catalog,CDC Open Data — Disability Dataset Catalog (SODA API),CDC,https://data.cdc.gov/api/views/metadata/v1?limit=100&searchContext=disability,2026-09-20T13:02:25.395306+00:00,HIGH,content_major,100.0,0.0,100,100,0.000,,,"--- before (2026-09-19)
+++ after (2026-09-20)
@@ -0,0 +1,1783 @@
+[ {

+  ""id"" : ""7xz4-qgju"",

+  ""name"" : ""Historical Averages of Pollen Season Timing and Concentrations for Select United States Cities, 2003-2024"",

+  ""attribution"" : ""National Allergy Bureau (NAB) and CDC/NCEH/DEHSP"",

+  ""attributionLink"" : ""https://pollen.aaaai.org/"",

+  ""category"" : ""National Center for Environmental Health"",

+  ""createdAt"" : ""2026-09-15T20:05:49+0000"",

+  ""dataUpdatedAt"" : ""2026-09-18T15:34:47+0000"",

",Major content change: 100.0% text altered
